company,year,asset/equity,cash&equi_to_asset,a/w,size,asset/lia,industry
FOX,2024.0,2.2196464996103455,0.02105127514129929,1149620801.012232,30.071637377756367,1.8199097036063163,Viễn thông
FPC,2016.0,-0.37832716329342037,0.2001821817595181,13753114187.872,24.953969034254154,0.2744828465757237,Công nghiệp
FPC,2017.0,-0.3003364993965399,0.07127073827690496,11545080743.56,24.778963185991877,0.23096829131222574,Công nghiệp
FPC,2018.0,-0.17337394067229492,0.09951342115144002,7018939914.276001,24.28131594668127,0.14775676761063808,Công nghiệp
FPC,2019.0,-0.1089364723807804,0.09620408256204681,4579887042.9,23.854378084123862,0.09823508838779937,Công nghiệp
FPC,2020.0,-0.09976887066387896,0.016229732912258616,3566373007.3019996,23.60425286444537,0.09071803478457538,Công nghiệp
FPC,2021.0,-0.04143957330825346,0.23138091935575875,1508213066.4,22.74362929983447,0.03979066512386874,Công nghiệp
FPC,2022.0,-0.028332479679180206,0.18665825996541463,1020584096.28,22.35307885638675,0.02755186696818075,Công nghiệp
FPC,2023.0,-0.021822960605958425,0.4805977512275268,801461692.3199999,22.111385646570906,0.021356890036036223,Công nghiệp
FPC,2024.0,-0.022919896171251473,0.29468935176005234,863530248.474,22.185977397683082,0.022406345068699644,Công nghiệp
FPT,2016.0,2.557931409133295,0.13763210401847056,335377280.44657826,30.54837921513726,1.6418767823394214,Công nghệ Thông tin
FPT,2017.0,2.60596310943477,0.20156566946097876,378738883.0030595,30.66997011130866,1.6226793094593295,Công nghệ Thông tin
FPT,2018.0,1.8884247172314255,0.13922817999954107,303773799.3113807,30.449406449950807,2.1255877741856097,Công nghệ Thông tin
FPT,2019.0,2.014018682178045,0.13192587786158866,350787893.27371186,30.59330485486294,1.9861751243597068,Công nghệ Thông tin
FPT,2020.0,1.9878319532785858,0.1034129373713212,381550689.8225796,30.67736681840502,2.0123179318921895,Công nghệ Thông tin
FPT,2021.0,2.243097349658149,0.11228626729200672,469273661.21656686,30.884309204395315,1.8044422267290647,Công nghệ Thông tin
FPT,2022.0,2.5071424935230584,0.10089484257408818,584318985.4281906,31.1035701483589,1.6635072690853703,Công nghệ Thông tin
FPT,2023.0,2.0369991223444703,0.12468783801474365,543303907.6946517,31.03079195277186,1.964320970435518,Công nghệ Thông tin
FPT,2024.0,2.013924596407025,0.13733855928875763,623174371.9282618,31.167949477083862,1.9862666351557414,Công nghệ Thông tin
FRC,2016.0,3.3132530050575673,0.03946209696347899,258431077.10891718,25.119532576011117,1.4322916679730475,Nguyên vật liệu
FRC,2017.0,3.6564987474884316,0.024386952324514703,300045342.90477705,25.26883715013431,1.3764353365291222,Nguyên vật liệu
FRC,2018.0,2.6257944440427736,0.021820248560857798,254176298.45675159,25.10293165854804,1.6150839078483714,Nguyên vật liệu
FRC,2019.0,1.991396301461588,0.11136956781633182,240547412.4324841,25.04782075509324,2.0086783645709874,Nguyên vật liệu
FRC,2020.0,2.252746753401568,0.07468914647731183,336120193.8424204,25.382372359647853,1.7982459322163178,Nguyên vật liệu
FRC,2021.0,2.286006089687918,0.18760270193494652,433370285.82815284,25.636496070013735,1.7776012944407402,Nguyên vật liệu
FRC,2022.0,2.261334959456074,0.07563841707058408,557365965.6573248,25.888125597961306,1.7928108172243404,Nguyên vật liệu
FRC,2023.0,2.069489394552429,0.010299101418717564,563237189.9265605,25.8986043797922,1.9350256347502077,Nguyên vật liệu
FRC,2024.0,1.5106628622917107,0.13565486200541446,405060738.1382484,25.56894057045417,2.9582391316107906,Nguyên vật liệu
FRM,2016.0,1.849166913111832,0.2310677444378753,4081997728.9902124,25.979999946701852,2.177624780898998,Nguyên vật liệu
FRM,2017.0,1.3513369729434914,0.009207144520866442,2403862195.074468,25.450490130514908,3.8462703245321115,Nguyên vật liệu
FRM,2018.0,1.2028088657604732,0.05516796630975791,2157811935.4300003,25.342508154081898,5.930750912936158,Nguyên vật liệu
FRM,2019.0,1.2024171455693622,0.06569933284103133,2218710729.424468,25.370339713336687,5.940292963756522,Nguyên vật liệu
FRM,2020.0,1.2578383585548292,0.11785205290705009,2319220496.196383,25.41464457486676,4.878398875966123,Nguyên vật liệu
FRM,2021.0,1.2046439280470784,0.11693872567072681,2017381697.219149,25.275213919804436,5.886536383185284,Nguyên vật liệu
FRM,2022.0,1.067425563604328,0.1540504041245908,1705623029.6936169,25.10734389596728,15.831170056927931,Nguyên vật liệu
FRM,2023.0,1.1204126654446755,0.29107916164863096,1753327123.8642552,25.134928635221556,9.30477422210587,Nguyên vật liệu
FRM,2024.0,1.1153525022089898,0.1329465806039866,1858935611.22,25.19341751056208,9.669079394465605,Nguyên vật liệu
FRT,2016.0,8.409991371453998,0.30065581835178246,86418809.86630474,28.252939815516218,1.134952923677127,Dịch vụ Tiêu dùng
FRT,2017.0,9.142322149531994,0.3094232208710666,152991820.45837975,28.824118915521723,1.1228150866098412,Dịch vụ Tiêu dùng
FRT,2018.0,4.860577592687304,0.16482523115431139,120347204.24745175,28.58411539039086,1.2590285976622249,Dịch vụ Tiêu dùng
FRT,2019.0,4.45962719296965,0.18352149076711466,155854914.61243737,28.842659996578142,1.2890484853489739,Dịch vụ Tiêu dùng
FRT,2020.0,5.15394879239488,0.131889518951456,192746706.18438473,29.055111380374527,1.2407347923572907,Dịch vụ Tiêu dùng
FRT,2021.0,4.397556426529171,0.13020772121313778,154987856.7806867,28.837081227114556,1.2943291808759054,Dịch vụ Tiêu dùng
FRT,2022.0,6.44346203327781,0.10214185230931784,301234404.2571826,29.501623169978682,1.1837066179366451,Dịch vụ Tiêu dùng
FRT,2023.0,5.135223943941433,0.07084477965573184,283212797.99214363,29.439933008063306,1.2418248717739007,Dịch vụ Tiêu dùng
FRT,2024.0,7.619051924821743,0.07335391264747948,346423368.8049499,29.641396092935434,1.151079038411824,Dịch vụ Tiêu dùng
FSO,2016.0,1.2355860685875995,0.1274289587084854,2993664636.465555,24.71013586271622,5.2447331711729115,Công nghiệp
FSO,2017.0,1.5015604668727194,0.11153780100951076,3752793770.366667,24.93613816289202,2.993777552355955,Công nghiệp
FSO,2018.0,1.099098432017311,0.1131350636444535,2359835599.2850003,24.47222955015726,11.090977017934204,Công nghiệp
