in_stock_lag1,invest_nav_lag1,long_receive_lag1,long_liability_lag1,other_long_asset_lag1,cwip_lag1,other_short_asset_lag1,long_invest_lag1,other_fund_lag1,gov_own_lag1,for_own_lag1,roe_lag1,expense_lag1,company,year,roe
15251160318.160002,3694375583.36,45988800000.0,46517733808.82,1251479151.1000001,77579568360.46,4886299282.68,0.0,0.0,0.0,0.0,0.1332,142880444107.3,AAV,2018.0,0.2077
18593781217.7,3490730406.8,15065436050.6,30273621998.75,855259202.2,77054126419.40001,5131660233.05,10737775207.9,0.0,0.0,0.0,0.2077,271953135925.90002,AAV,2019.0,0.1087
15274522841.76,3292830790.2,19923843061.08,34243129676.07,23745527714.16,83244531982.5,4404738570.75,0.0,0.0,0.0,0.0,0.1087,318189993658.7399,AAV,2020.0,0.0369
11482304988.72,3151507496.96,18612096704.68,34948809591.98,20724773989.64,94933058940.62,4848870077.8,0.0,0.0,0.0,1.0,0.0369,195149815688.18,AAV,2021.0,0.015857841380502925
8358294831.599999,2963662605.6,31632295743.0,31023456901.199997,52521701805.6,96938148991.2,6313888197.0,0.0,0.0,0.0,1.0,0.015857841380502925,277782539930.39996,AAV,2022.0,0.002
5633954960.42,2781563271.52,30635971569.46,29612592948.62,45242360351.18,100071226698.48,6067662937.919999,0.0,0.0,0.0,0.0,0.002,281174327400.89996,AAV,2023.0,-0.0225
3691286708.0099998,2651731092.8399997,2410504347.72,28962300019.62,32061107300.76,93785860720.92,5684352519.03,0.0,0.0,0.0,0.0,-0.0225,50640325746.36,AAV,2024.0,-0.0213
62983317714.899994,0.0,1298780811.79,393765559.79999995,5058790547.389999,0.0,4652980339.559999,8674472549.41,0.0,0.0,0.0,0.1368,2894286209682.4697,ABC,2016.0,0.1417
71012290230.7,0.0,1259488124.3,4450597130.0,6265752840.2,0.0,6247120097.4,5548148613.7,0.0,0.0,0.0,0.1417,5049408534816.8,ABC,2017.0,0.5888
35439343945.340004,0.0,821170694.34,4489442936.33,4222654398.17,0.0,13085384585.18,78302668853.35,0.0,0.0,0.0,0.5888,2836350440686.99,ABC,2018.0,0.0479
86179206300.2,15797937102.35,1838901936.3,4488755897.6,2577348831.85,0.0,17225734965.4,5215901869.75,0.0,0.0,0.0,0.0479,605458019521.55,ABC,2019.0,0.0532
97764078717.27,14652038074.59,2553661153.26,4398067651.95,2150275380.12,0.0,45562355678.07,37013608223.55,0.0,1.0,1.0,0.0532,1435388196261.6,ABC,2020.0,-0.4391
13804273047.36,13770130539.539999,1846802758.12,4311379968.58,3949328440.22,0.0,100385763579.24,51616035355.36,0.0,1.0,1.0,-0.4391,2204384675564.94,ABC,2021.0,-0.13771550338544833
9859947585.0,12697543584.6,2064705000.0,4278573820.7999997,2817783230.4,0.0,91393731781.8,117049358689.2,0.0,1.0,1.0,-0.13771550338544833,1271849828647.8,ABC,2022.0,6.7888
892459222.26,11666849243.859999,1787806499.9999998,4287874743.62,2041485197.12,0.0,39823370024.579994,77212863467.43999,0.0,0.0,0.0,6.7888,1132754129695.52,ABC,2023.0,0.0526
644003149.02,10868726936.009998,1017962999.9999999,632877381.15,392128790.21999997,895754999.9999999,23857882532.76,36871328644.74,0.0,0.0,0.0,0.0526,617025326860.7999,ABC,2024.0,0.0142
0.0,0.0,0.0,0.0,0.0,0.0,16952411.56,209694879000.0,0.0,0.0,0.0,0.0506,103834660.0,ABFG,2016.0,0.019
0.0,0.0,488521357875.6,0.0,107291616.6,0.0,0.0,195156430000.0,0.0,0.0,0.0,0.019,60899644598.799995,ABFG,2017.0,0.0418
0.0,0.0,509573628252.36005,0.0,60131289.31,0.0,0.0,187831083000.0,0.0,0.0,0.0,0.0418,128570275681.51,ABFG,2018.0,0.0027
2822708525.81,0.0,0.0,221278600.0,5136910.35,0.0,28726778.919999998,14056187099.49,0.0,0.0,0.0,0.0365,16810648518.24,ABR,2016.0,0.0555
2209973261.2999997,0.0,0.0,1515964.0999999999,0.0,2085999999.9999998,239391844.29999998,5792513282.5,0.0,0.0,0.0,0.0555,19305033190.799995,ABR,2017.0,0.0227
1132769486.42,0.0,0.0,1450994.2100000002,0.0,2239810000.0,135922898.66,5543338112.58,0.0,0.0,0.0,0.0227,18411880174.57,ABR,2018.0,0.0516
1824978761.45,0.0,0.0,0.0,1294800000.0,0.0,76923068.95,5374961593.95,0.0,0.0,0.0,0.0516,12338040074.099998,ABR,2019.0,0.0686
172451417.04,0.0,64718854.2,1401536292.66,45291983558.22,9420288433.92,226629708.48,27255164.580000002,0.0,0.0,1.0,0.0686,11486666515.59,ABR,2020.0,0.1104
972317856.96,0.0,43281567.6,1813381692.84,39084697476.8,7713378869.2,871539049.28,26822542.919999998,0.0,0.0,1.0,0.1104,46859023628.16,ABR,2021.0,0.0785
244687761.6,0.0,105169518.0,2398556568.6,34417938688.799995,2236326408.6,226282956.0,0.0,0.0,0.0,1.0,0.0785,44591268514.8,ABR,2022.0,0.1087
243496328.48,0.0,67543900.0,2666870032.98,29766777555.44,2293364753.96,549744135.86,63748894819.02,0.0,0.0,0.0,0.1087,44038900484.85999,ABR,2023.0,0.1031
